subgrupo,grupo,qtde,km_por_retorno,data,tipo
Embreagem,Mecânica,8,149733.63,1-Dec-24,Socorro
Vazamento de ar,Mecânica,8,149733.63,1-Dec-24,Socorro
Caixa de marcha,Mecânica,4,299467.25,1-Dec-24,Socorro
Motor,Mecânica,3,399289.67,1-Dec-24,Socorro
Embreagem,Mecânica,9,133116,1-Jan-25,Socorro
Vazamento de ar,Mecânica,8,149755.5,1-Jan-25,Socorro
Embreagem,Mecânica,8,149755.5,1-Jan-25,Retorno
Vazamento de ar,Mecânica,8,149755.5,1-Jan-25,Retorno
Arrefecimento,Mecânica,7,171149.14,1-Jan-25,Retorno
Freio,Mecânica,5,239608.8,1-Jan-25,Retorno
Porta,Mecânica,5,239608.8,1-Jan-25,Retorno
